## [iView]
## Converted from:	I:\pp23671_task1.idf
## Date:	01.01.2019 17:13:17
## Version:	IDF Converter 3.0.20
## IDF Version:	9
## Sample Rate:	50
## Separator Type:	Unknown
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	30909                                                                                                                                                                                                                                                           
## Reversed:	none
## [Run]
## Subject:	pp23671
## Description:	                                                                                                                                                                                                                                                                
## [Calibration]
## Calibration Area:	1280	1024
## Calibration Point 0:	Position(448;512)
## Calibration Point 1:	Position(832;512)
## Calibration Point 2:	Position(256;204)
## Calibration Point 3:	Position(1024;204)
## Calibration Point 4:	Position(256;819)
## Calibration Point 5:	Position(1024;819)
## Calibration Point 6:	Position(640;204)
## Calibration Point 7:	Position(640;819)
## [Geometry]
## Stimulus Dimension [mm]:	300	200
## Head Distance [mm]:	500
## [Hardware Setup]
## System ID:	IVIEW
## Operating System :	5.1
## iView X Version:	2.4.33
## [Filter Settings]
## Heuristic:	False
## Heuristic Stage:	0
## Bilateral:	True
## Gaze Cursor Filter:	True
## Saccade Length [px]:	80
## Filter Depth [ms]:	20
## Format:	LEFT, RAW, DIAMETER, CR, POR, QUALITY, TRIGGER, MSG, FRAMECOUNTER
## 
Time	Type	Trial	L Raw X [px]	L Raw Y [px]	L Dia X [px]	L Dia Y [px]	L CR1 X [px]	L CR1 Y [px]	L POR X [px]	L POR Y [px]	Timing	Pupil Confidence	Trigger	Frame	Aux1
35919091922	SMP	1	143.81	154.14	23.40	24.57	142.84	126.82	0.00	0.00	0	0	0		
35919111956	SMP	1	144.07	154.01	22.49	24.58	90.00	124.00	0.00	0.00	0	0	0		
35919131920	SMP	1	144.38	154.00	22.62	24.67	174.50	158.99	0.00	0.00	0	0	0		
35919151951	SMP	1	144.36	154.17	22.51	23.79	174.62	159.43	0.00	0.00	0	0	0		
35919171919	SMP	1	144.17	154.33	23.50	24.70	174.46	159.79	0.00	0.00	0	0	0		
35919191954	SMP	1	143.94	155.15	23.45	24.64	153.88	129.00	0.00	0.00	0	0	0		
35919211921	SMP	1	144.21	154.74	23.42	24.71	90.00	124.00	0.00	0.00	0	0	0		
35919231949	SMP	1	144.41	154.84	23.50	24.70	142.52	126.31	0.00	0.00	0	0	0		
35919251919	SMP	1	144.27	154.58	22.62	24.66	90.00	124.00	0.00	0.00	0	0	0		
35919271949	SMP	1	144.57	154.48	22.73	25.59	156.81	156.12	0.00	0.00	0	0	0		
35919291920	SMP	1	143.46	154.57	23.54	25.60	174.65	159.81	0.00	0.00	0	0	0		
35919311948	SMP	1	142.77	154.85	23.45	24.53	153.01	129.74	0.00	0.00	0	0	0		
35919331915	SMP	1	142.56	154.99	24.32	24.63	155.93	125.70	0.00	0.00	0	0	0		
35919351948	SMP	1	143.04	155.77	22.57	24.63	156.04	125.68	0.00	0.00	0	0	0		
35919371916	SMP	1	142.71	154.80	23.34	24.64	154.00	128.54	0.00	0.00	0	0	0		
35919391948	SMP	1	143.26	154.84	23.37	22.77	153.74	129.22	0.00	0.00	0	0	0		
35919411911	SMP	1	144.02	150.33	17.69	14.52	154.49	125.78	0.00	0.00	0	0	0		
35919431952	SMP	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0		
35919451916	SMP	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0		
35919471948	SMP	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0		
35919491913	SMP	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0		
35919511947	SMP	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0		
35919531915	SMP	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0		
35919551946	SMP	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0		
35919571911	SMP	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0		
35919591945	SMP	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0		
35919611913	SMP	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0		
35919631942	SMP	1	143.25	151.98	15.80	17.40	154.29	129.71	0.00	0.00	0	0	0		
35919651908	SMP	1	143.62	152.37	20.44	18.73	153.39	129.85	0.00	0.00	0	0	0		
35919671944	SMP	1	143.05	154.26	22.58	20.69	155.49	125.97	0.00	0.00	0	0	0		
