## [iView]
Converted from: NA
Date: NA
## Version:	IDF Converter 3.0.20
## IDF Version:	9
## Sample Rate:	60
## Separator Type:	Unknown
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	7343                                                                                                                                                                                                                                                            
## Reversed:	none
## [Run]
Subject: NA
## Description:	description info                                                                                                                                                                                                                                                
## [Calibration]
## Calibration Area:	800	600
## Calibration Point 0:	Position(400;300)
## Calibration Point 1:	Position(200;30)
## Calibration Point 2:	Position(760;150)
## Calibration Point 3:	Position(600;570)
## Calibration Point 4:	Position(40;450)
## [Geometry]
## Stimulus Dimension [mm]:	321	240
## Head Distance [mm]:	700
## [Hardware Setup]
## System ID:	RNX1023401-1517//SMI_REDn Scientific///Binoc
## Operating System :	6.2.9200
## iView X Version:	4.2.1.0
## [Filter Settings]
## Heuristic:	False
## Heuristic Stage:	0
## Bilateral:	True
## Gaze Cursor Filter:	False
## Saccade Length [px]:	0
## Filter Depth [ms]:	0
## Format:	LEFT, RIGHT, RAW, DIAMETER, CR, POR, QUALITY, PLANE, EYEPOSITION, GAZEVECTOR, TRIGGER, MSG, FRAMECOUNTER
## 
Time	Type	Trial	L Raw X [px]	L Raw Y [px]	R Raw X [px]	R Raw Y [px]	L Dia X [px]	L Dia Y [px]	L Mapped Diameter [mm]	R Dia X [px]	R Dia Y [px]	R Mapped Diameter [mm]	L CR1 X [px]	L CR1 Y [px]	L CR2 X [px]	L CR2 Y [px]	R CR1 X [px]	R CR1 Y [px]	R CR2 X [px]	R CR2 Y [px]	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]	Timing	L Validity	R Validity	Pupil Confidence	L Plane	R Plane	L EPOS X	L EPOS Y	L EPOS Z	R EPOS X	R EPOS Y	R EPOS Z	L GVEC X	L GVEC Y	L GVEC Z	R GVEC X	R GVEC Y	R GVEC Z	Trigger	Frame	Aux1
2882674503	SMP	1	1375.42	494.90	1141.43	497.49	26.79	26.79	5.96	26.69	26.69	6.18	1377.54	494.53	1384.02	494.51	1147.13	496.49	1152.77	496.62	0.00	0.00	0.00	0.00	0	1	1	2	-1	-1	-8.64	61.43	730.99	46.69	63.43	760.70	0.26	-0.10	-0.96	0.36	-0.12	-0.92	0		
2882691158	SMP	1	1375.60	494.79	1141.71	496.51	26.40	26.40	5.93	26.92	26.92	6.18	1377.69	494.50	1384.09	494.46	1147.18	496.40	1152.90	496.42	0.00	0.00	0.00	0.00	0	1	1	2	-1	-1	-8.66	61.39	730.41	46.59	63.37	759.54	0.26	-0.10	-0.96	0.35	-0.08	-0.93	0		
2882707819	SMP	1	1375.54	494.87	1141.63	496.66	26.54	26.54	5.91	27.18	27.18	6.19	1377.94	494.74	1384.13	494.57	1147.17	496.44	1152.91	496.48	0.00	0.00	0.00	0.00	0	1	1	2	-1	-1	-8.71	61.47	731.85	46.63	63.41	760.16	0.27	-0.09	-0.96	0.36	-0.09	-0.93	0		
2882724477	SMP	1	1375.76	495.54	1141.72	497.28	26.74	26.74	5.91	26.73	26.73	6.17	1378.10	495.23	1384.17	495.29	1147.20	496.61	1153.01	496.75	0.00	0.00	0.00	0.00	0	1	1	2	-1	-1	-8.75	61.46	733.38	46.55	63.27	759.06	0.27	-0.09	-0.96	0.35	-0.11	-0.93	0		
2882741135	SMP	1	1376.04	496.11	1141.55	497.80	26.90	26.90	5.92	26.38	26.38	6.15	1378.33	495.59	1384.41	495.60	1147.21	497.38	1153.01	497.40	0.00	0.00	0.00	0.00	0	1	1	2	-1	-1	-8.82	61.46	734.33	46.60	63.17	759.91	0.26	-0.10	-0.96	0.36	-0.10	-0.93	0		
2882757790	SMP	1	1376.02	496.09	1142.09	497.19	26.72	26.72	5.91	27.27	27.27	6.16	1378.40	495.97	1384.61	495.93	1147.34	497.42	1153.28	497.44	0.00	0.00	0.00	0.00	0	1	1	2	-1	-1	-8.84	61.31	733.50	46.36	62.89	756.74	0.27	-0.09	-0.96	0.34	-0.07	-0.94	0		
2882774424	SMP	1	1376.01	496.19	1142.01	497.59	26.93	26.93	5.92	26.60	26.60	6.15	1378.61	495.90	1384.79	495.86	1147.54	497.30	1153.28	497.40	0.00	0.00	0.00	0.00	0	1	1	2	-1	-1	-8.89	61.35	733.85	46.62	63.30	761.45	0.28	-0.09	-0.96	0.36	-0.09	-0.93	0		
2882791078	SMP	1	1376.22	496.00	1142.04	496.82	26.60	26.60	5.91	26.74	26.74	6.15	1378.60	495.52	1385.01	495.49	1147.69	496.95	1153.27	497.05	0.00	0.00	0.00	0.00	0	1	1	2	-1	-1	-8.88	61.21	731.15	46.79	63.65	764.52	0.28	-0.10	-0.96	0.36	-0.07	-0.93	0		
2882807735	SMP	1	1376.19	495.40	1142.00	497.32	26.60	26.60	5.90	26.34	26.34	6.14	1378.60	495.38	1384.99	495.30	1147.58	496.64	1153.27	496.64	0.00	0.00	0.00	0.00	0	1	1	2	-1	-1	-8.87	61.21	730.61	46.77	63.68	763.94	0.28	-0.08	-0.96	0.36	-0.11	-0.93	0		
2882824426	SMP	1	1375.99	495.15	1141.83	496.55	26.70	26.70	5.89	26.74	26.74	6.14	1378.52	494.82	1384.75	494.88	1147.29	496.41	1153.22	496.47	0.00	0.00	0.00	0.00	0	1	1	2	-1	-1	-8.85	61.44	732.06	46.62	63.48	760.86	0.28	-0.09	-0.96	0.36	-0.08	-0.93	0		
